Competition,Sex,Event,Round,RT,Result,RuleChange
Worlds,Mens,100m,1,0.136,FastestQualifier,2004-2009
Worlds,Mens,100m,1,0.173,Eliminated,2004-2009
Worlds,Mens,100m,1,0.158,Eliminated,2004-2009
Worlds,Mens,100m,1,NA,DNS,2004-2009
Worlds,Mens,100m,1,0.13,Qualified,2004-2009
Worlds,Mens,100m,1,0.135,Qualified,2004-2009
Worlds,Mens,100m,1,0.154,Qualified,2004-2009
Worlds,Mens,100m,1,0.144,FastestQualifier,2004-2009
Worlds,Mens,100m,1,0.143,Eliminated,2004-2009
Worlds,Mens,100m,1,0.155,Eliminated,2004-2009
Worlds,Mens,100m,1,0.153,Eliminated,2004-2009
Worlds,Mens,100m,1,NA,DNS,2004-2009
Worlds,Mens,100m,1,0.14,Qualified,2004-2009
Worlds,Mens,100m,1,0.147,Qualified,2004-2009
Worlds,Mens,100m,1,0.144,Qualified,2004-2009
Worlds,Mens,100m,1,0.126,FastestQualifier,2004-2009
Worlds,Mens,100m,1,0.114,Eliminated,2004-2009
Worlds,Mens,100m,1,0.156,Eliminated,2004-2009
Worlds,Mens,100m,1,0.18,Eliminated,2004-2009
Worlds,Mens,100m,1,0.137,Qualified,2004-2009
Worlds,Mens,100m,1,0.159,Qualified,2004-2009
Worlds,Mens,100m,1,0.141,Qualified,2004-2009
Worlds,Mens,100m,1,0.167,FastestQualifier,2004-2009
Worlds,Mens,100m,1,0.164,Eliminated,2004-2009
Worlds,Mens,100m,1,0.144,Eliminated,2004-2009
Worlds,Mens,100m,1,0.133,Eliminated,2004-2009
Worlds,Mens,100m,1,0.164,Qualified,2004-2009
Worlds,Mens,100m,1,0.19,Qualified,2004-2009
Worlds,Mens,100m,1,0.174,Qualified,2004-2009
Worlds,Mens,100m,1,0.156,Eliminated,2004-2009
Worlds,Mens,100m,1,0.163,Eliminated,2004-2009
Worlds,Mens,100m,1,0.167,Eliminated,2004-2009
Worlds,Mens,100m,1,0.167,Eliminated,2004-2009
Worlds,Mens,100m,1,0.149,DNF,2004-2009
Worlds,Mens,100m,1,0.148,Qualified,2004-2009
Worlds,Mens,100m,1,0.143,Qualified,2004-2009
Worlds,Mens,100m,1,0.144,Qualified,2004-2009
Worlds,Mens,100m,1,0.135,FastestQualifier,2004-2009
Worlds,Mens,100m,1,0.17,FastestQualifier,2004-2009
Worlds,Mens,100m,1,0.127,Eliminated,2004-2009
Worlds,Mens,100m,1,0.262,Eliminated,2004-2009
Worlds,Mens,100m,1,0.178,Eliminated,2004-2009
Worlds,Mens,100m,1,0.15,Qualified,2004-2009
Worlds,Mens,100m,1,0.163,Qualified,2004-2009
Worlds,Mens,100m,1,0.154,Qualified,2004-2009
Worlds,Mens,100m,1,0.145,Eliminated,2004-2009
Worlds,Mens,100m,1,0.14,Eliminated,2004-2009
Worlds,Mens,100m,1,0.148,Eliminated,2004-2009
Worlds,Mens,100m,1,0.207,Eliminated,2004-2009
Worlds,Mens,100m,1,NA,DNS,2004-2009
Worlds,Mens,100m,2,0.164,Qualified,2004-2009
Worlds,Mens,100m,2,0.159,Qualified,2004-2009
Worlds,Mens,100m,2,0.165,Qualified,2004-2009
Worlds,Mens,100m,2,0.143,Eliminated,2004-2009
Worlds,Mens,100m,2,0.121,Eliminated,2004-2009
Worlds,Mens,100m,2,0.146,Eliminated,2004-2009
Worlds,Mens,100m,2,0.15,Eliminated,2004-2009
Worlds,Mens,100m,2,NA,DNF,2004-2009
Worlds,Mens,100m,2,0.131,Qualified,2004-2009
Worlds,Mens,100m,2,0.117,Qualified,2004-2009
Worlds,Mens,100m,2,0.167,Qualified,2004-2009
Worlds,Mens,100m,2,0.142,FastestQualifier,2004-2009
Worlds,Mens,100m,2,0.145,Eliminated,2004-2009
Worlds,Mens,100m,2,0.15,Eliminated,2004-2009
Worlds,Mens,100m,2,0.169,Eliminated,2004-2009
Worlds,Mens,100m,2,0.184,Eliminated,2004-2009
Worlds,Mens,100m,2,0.182,Qualified,2004-2009
Worlds,Mens,100m,2,0.16,Qualified,2004-2009
Worlds,Mens,100m,2,0.15,Qualified,2004-2009
Worlds,Mens,100m,2,0.144,FastestQualifier,2004-2009
Worlds,Mens,100m,2,0.158,Eliminated,2004-2009
Worlds,Mens,100m,2,0.143,Eliminated,2004-2009
Worlds,Mens,100m,2,0.168,Eliminated,2004-2009
Worlds,Mens,100m,2,0.138,Eliminated,2004-2009
Worlds,Mens,100m,2,0.139,Qualified,2004-2009
Worlds,Mens,100m,2,0.147,Qualified,2004-2009
Worlds,Mens,100m,2,0.134,Qualified,2004-2009
Worlds,Mens,100m,2,0.164,FastestQualifier,2004-2009
Worlds,Mens,100m,2,0.145,FastestQualifier,2004-2009
Worlds,Mens,100m,2,0.177,Eliminated,2004-2009
Worlds,Mens,100m,2,0.133,Eliminated,2004-2009
Worlds,Mens,100m,2,0.146,Eliminated,2004-2009
Worlds,Mens,100m,3,0.132,Qualified,2004-2009
Worlds,Mens,100m,3,0.119,Qualified,2004-2009
Worlds,Mens,100m,3,0.159,Qualified,2004-2009
Worlds,Mens,100m,3,0.154,Qualified,2004-2009
Worlds,Mens,100m,3,0.138,Eliminated,2004-2009
Worlds,Mens,100m,3,0.13,Eliminated,2004-2009
Worlds,Mens,100m,3,0.16,Eliminated,2004-2009
Worlds,Mens,100m,3,0.157,Eliminated,2004-2009
Worlds,Mens,100m,3,0.141,Qualified,2004-2009
Worlds,Mens,100m,3,0.154,Qualified,2004-2009
Worlds,Mens,100m,3,0.147,Qualified,2004-2009
Worlds,Mens,100m,3,0.146,Qualified,2004-2009
Worlds,Mens,100m,3,0.125,Eliminated,2004-2009
Worlds,Mens,100m,3,0.152,Eliminated,2004-2009
Worlds,Mens,100m,3,0.138,Eliminated,2004-2009
Worlds,Mens,100m,3,0.144,Eliminated,2004-2009
Worlds,Mens,100m,4,0.157,Finalist,2004-2009
Worlds,Mens,100m,4,0.141,Finalist,2004-2009
Worlds,Mens,100m,4,0.146,Finalist,2004-2009
Worlds,Mens,100m,4,0.134,Finalist,2004-2009
Worlds,Mens,100m,4,0.138,Finalist,2004-2009
Worlds,Mens,100m,4,0.123,Finalist,2004-2009
Worlds,Mens,100m,4,0.165,Finalist,2004-2009
Worlds,Mens,100m,4,0.131,Finalist,2004-2009
Worlds,Mens,100m,1,0.157,Qualified,1999-2003
Worlds,Mens,100m,1,0.145,Qualified,1999-2003
Worlds,Mens,100m,1,0.165,Qualified,1999-2003
Worlds,Mens,100m,1,0.128,Eliminated,1999-2003
Worlds,Mens,100m,1,0.149,Eliminated,1999-2003
Worlds,Mens,100m,1,0.216,Eliminated,1999-2003
Worlds,Mens,100m,1,0.318,Eliminated,1999-2003
Worlds,Mens,100m,1,NA,DNS,1999-2003
Worlds,Mens,100m,1,0.134,Qualified,1999-2003
Worlds,Mens,100m,1,0.155,Qualified,1999-2003
Worlds,Mens,100m,1,0.153,Qualified,1999-2003
Worlds,Mens,100m,1,0.158,FastestQualifier,1999-2003
Worlds,Mens,100m,1,0.15,Eliminated,1999-2003
Worlds,Mens,100m,1,0.169,Eliminated,1999-2003
Worlds,Mens,100m,1,0.161,Eliminated,1999-2003
Worlds,Mens,100m,1,NA,Disqualified,1999-2003
Worlds,Mens,100m,1,0.183,Qualified,1999-2003
Worlds,Mens,100m,1,0.16,Qualified,1999-2003
Worlds,Mens,100m,1,0.143,Qualified,1999-2003
Worlds,Mens,100m,1,0.118,Eliminated,1999-2003
Worlds,Mens,100m,1,0.174,Eliminated,1999-2003
Worlds,Mens,100m,1,NA,Disqualified,1999-2003
Worlds,Mens,100m,1,NA,Disqualified,1999-2003
Worlds,Mens,100m,1,0.122,Qualified,1999-2003
Worlds,Mens,100m,1,0.156,Qualified,1999-2003
Worlds,Mens,100m,1,0.151,Qualified,1999-2003
Worlds,Mens,100m,1,0.15,Eliminated,1999-2003
Worlds,Mens,100m,1,0.155,Eliminated,1999-2003
Worlds,Mens,100m,1,0.154,Eliminated,1999-2003
Worlds,Mens,100m,1,0.149,Eliminated,1999-2003
Worlds,Mens,100m,1,0.206,Eliminated,1999-2003
Worlds,Mens,100m,1,0.153,Qualified,1999-2003
Worlds,Mens,100m,1,0.146,Qualified,1999-2003
Worlds,Mens,100m,1,0.187,Eliminated,1999-2003
Worlds,Mens,100m,1,0.151,Eliminated,1999-2003
Worlds,Mens,100m,1,0.17,Eliminated,1999-2003
Worlds,Mens,100m,1,0.171,Eliminated,1999-2003
Worlds,Mens,100m,1,0.142,Disqualified,1999-2003
Worlds,Mens,100m,1,NA,DNS,1999-2003
Worlds,Mens,100m,1,0.122,Qualified,1999-2003
Worlds,Mens,100m,1,0.172,Qualified,1999-2003
Worlds,Mens,100m,1,0.174,Qualified,1999-2003
Worlds,Mens,100m,1,0.161,Eliminated,1999-2003
Worlds,Mens,100m,1,0.155,Eliminated,1999-2003
Worlds,Mens,100m,1,0.14,Eliminated,1999-2003
Worlds,Mens,100m,1,0.175,Eliminated,1999-2003
Worlds,Mens,100m,1,0.181,Eliminated,1999-2003
Worlds,Mens,100m,1,0.137,Qualified,1999-2003
Worlds,Mens,100m,1,0.134,Qualified,1999-2003
Worlds,Mens,100m,1,0.158,Eliminated,1999-2003
Worlds,Mens,100m,1,0.138,Eliminated,1999-2003
Worlds,Mens,100m,1,0.148,Eliminated,1999-2003
Worlds,Mens,100m,1,0.183,Eliminated,1999-2003
Worlds,Mens,100m,1,0.18,Eliminated,1999-2003
Worlds,Mens,100m,1,0.168,Disqualified,1999-2003
Worlds,Mens,100m,1,0.137,Qualified,1999-2003
Worlds,Mens,100m,1,0.142,Qualified,1999-2003
Worlds,Mens,100m,1,0.153,Qualified,1999-2003
Worlds,Mens,100m,1,0.157,Eliminated,1999-2003
Worlds,Mens,100m,1,0.138,Eliminated,1999-2003
Worlds,Mens,100m,1,0.159,Eliminated,1999-2003
Worlds,Mens,100m,1,0.166,Eliminated,1999-2003
Worlds,Mens,100m,1,0.153,Eliminated,1999-2003
Worlds,Mens,100m,1,0.147,Qualified,1999-2003
Worlds,Mens,100m,1,0.167,Qualified,1999-2003
Worlds,Mens,100m,1,0.133,Qualified,1999-2003
Worlds,Mens,100m,1,0.164,Eliminated,1999-2003
Worlds,Mens,100m,1,0.156,Eliminated,1999-2003
Worlds,Mens,100m,1,0.17,Eliminated,1999-2003
Worlds,Mens,100m,1,0.152,Eliminated,1999-2003
Worlds,Mens,100m,1,0.157,Eliminated,1999-2003
Worlds,Mens,100m,1,0.148,Qualified,1999-2003
Worlds,Mens,100m,1,0.14,Qualified,1999-2003
Worlds,Mens,100m,1,0.154,Qualified,1999-2003
Worlds,Mens,100m,1,0.123,FastestQualifier,1999-2003
Worlds,Mens,100m,1,0.156,Eliminated,1999-2003
Worlds,Mens,100m,1,0.159,Eliminated,1999-2003
Worlds,Mens,100m,1,0.224,Eliminated,1999-2003
Worlds,Mens,100m,1,0.141,Eliminated,1999-2003
Worlds,Mens,100m,2,0.134,Qualified,1999-2003
Worlds,Mens,100m,2,0.157,Qualified,1999-2003
Worlds,Mens,100m,2,0.136,Qualified,1999-2003
Worlds,Mens,100m,2,0.174,Eliminated,1999-2003
Worlds,Mens,100m,2,0.155,Eliminated,1999-2003
Worlds,Mens,100m,2,0.163,Eliminated,1999-2003
Worlds,Mens,100m,2,0.129,Eliminated,1999-2003
Worlds,Mens,100m,2,0.155,Disqualified,1999-2003
Worlds,Mens,100m,2,0.134,Qualified,1999-2003
Worlds,Mens,100m,2,0.154,Qualified,1999-2003
Worlds,Mens,100m,2,0.141,Qualified,1999-2003
Worlds,Mens,100m,2,0.139,Qualified,1999-2003
Worlds,Mens,100m,2,0.159,Qualified,1999-2003
Worlds,Mens,100m,2,0.162,Eliminated,1999-2003
Worlds,Mens,100m,2,NA,Disqualified,1999-2003
Worlds,Mens,100m,2,NA,Disqualified,1999-2003
Worlds,Mens,100m,2,0.148,Qualified,1999-2003
Worlds,Mens,100m,2,0.151,Qualified,1999-2003
Worlds,Mens,100m,2,0.159,Qualified,1999-2003
Worlds,Mens,100m,2,0.167,Qualified,1999-2003
Worlds,Mens,100m,2,0.153,Eliminated,1999-2003
Worlds,Mens,100m,2,0.176,Eliminated,1999-2003
Worlds,Mens,100m,2,0.217,Eliminated,1999-2003
Worlds,Mens,100m,2,0.177,Eliminated,1999-2003
Worlds,Mens,100m,2,0.16,Qualified,1999-2003
Worlds,Mens,100m,2,0.106,Qualified,1999-2003
Worlds,Mens,100m,2,0.147,Qualified,1999-2003
Worlds,Mens,100m,2,0.179,Eliminated,1999-2003
Worlds,Mens,100m,2,0.153,Eliminated,1999-2003
Worlds,Mens,100m,2,0.167,Eliminated,1999-2003
Worlds,Mens,100m,2,0.141,Eliminated,1999-2003
Worlds,Mens,100m,2,0.132,Disqualified,1999-2003
Worlds,Mens,100m,3,0.142,Qualified,1999-2003
Worlds,Mens,100m,3,0.172,Qualified,1999-2003
Worlds,Mens,100m,3,0.227,Qualified,1999-2003
Worlds,Mens,100m,3,0.116,Eliminated,1999-2003
Worlds,Mens,100m,3,0.168,Eliminated,1999-2003
Worlds,Mens,100m,3,0.204,Eliminated,1999-2003
Worlds,Mens,100m,3,0.172,Eliminated,1999-2003
Worlds,Mens,100m,3,0.197,Disqualified,1999-2003
Worlds,Mens,100m,3,0.154,Qualified,1999-2003
Worlds,Mens,100m,3,0.158,Qualified,1999-2003
Worlds,Mens,100m,3,0.152,Qualified,1999-2003
Worlds,Mens,100m,3,0.156,Eliminated,1999-2003
Worlds,Mens,100m,3,0.157,Eliminated,1999-2003
Worlds,Mens,100m,3,0.168,Eliminated,1999-2003
Worlds,Mens,100m,3,0.129,Eliminated,1999-2003
Worlds,Mens,100m,3,0.23,Eliminated,1999-2003
Worlds,Mens,100m,3,0.147,Disqualified,1999-2003
Worlds,Mens,100m,4,0.148,Finalist,1999-2003
Worlds,Mens,100m,4,0.152,Finalist,1999-2003
Worlds,Mens,100m,4,0.112,Finalist,1999-2003
Worlds,Mens,100m,4,0.133,Finalist,1999-2003
Worlds,Mens,100m,4,0.132,Finalist,1999-2003
Worlds,Mens,100m,4,0.164,Finalist,1999-2003
Worlds,Mens,100m,4,0.145,Disqualified,1999-2003
Worlds,Mens,100m,4,0.14,Disqualified,1999-2003
Worlds,Mens,100m,1,0.162,Qualified,1999-2003
Worlds,Mens,100m,1,0.164,Qualified,1999-2003
Worlds,Mens,100m,1,0.155,Qualified,1999-2003
Worlds,Mens,100m,1,0.13,FastestQualifier,1999-2003
Worlds,Mens,100m,1,0.263,Eliminated,1999-2003
Worlds,Mens,100m,1,0.144,Eliminated,1999-2003
Worlds,Mens,100m,1,0.162,Eliminated,1999-2003
Worlds,Mens,100m,1,0.23,Eliminated,1999-2003
Worlds,Mens,100m,1,0.158,Qualified,1999-2003
Worlds,Mens,100m,1,0.165,Qualified,1999-2003
Worlds,Mens,100m,1,0.17,Qualified,1999-2003
Worlds,Mens,100m,1,0.144,Eliminated,1999-2003
Worlds,Mens,100m,1,0.148,Eliminated,1999-2003
Worlds,Mens,100m,1,0.173,Eliminated,1999-2003
Worlds,Mens,100m,1,0.169,Eliminated,1999-2003
Worlds,Mens,100m,1,NA,DNS,1999-2003
Worlds,Mens,100m,1,0.152,Qualified,1999-2003
Worlds,Mens,100m,1,0.148,Qualified,1999-2003
Worlds,Mens,100m,1,0.152,Qualified,1999-2003
Worlds,Mens,100m,1,0.159,Eliminated,1999-2003
Worlds,Mens,100m,1,0.161,Eliminated,1999-2003
Worlds,Mens,100m,1,0.172,Eliminated,1999-2003
Worlds,Mens,100m,1,0.138,DNF,1999-2003
Worlds,Mens,100m,1,NA,DNS,1999-2003
Worlds,Mens,100m,1,0.149,Qualified,1999-2003
Worlds,Mens,100m,1,0.166,Qualified,1999-2003
Worlds,Mens,100m,1,0.154,Qualified,1999-2003
Worlds,Mens,100m,1,0.157,FastestQualifier,1999-2003
Worlds,Mens,100m,1,0.177,Eliminated,1999-2003
Worlds,Mens,100m,1,0.18,Eliminated,1999-2003
Worlds,Mens,100m,1,0.218,Eliminated,1999-2003
Worlds,Mens,100m,1,0.173,Qualified,1999-2003
Worlds,Mens,100m,1,0.187,Qualified,1999-2003
Worlds,Mens,100m,1,0.191,Qualified,1999-2003
Worlds,Mens,100m,1,0.136,Eliminated,1999-2003
Worlds,Mens,100m,1,0.168,Eliminated,1999-2003
Worlds,Mens,100m,1,0.166,Eliminated,1999-2003
Worlds,Mens,100m,1,0.182,Eliminated,1999-2003
Worlds,Mens,100m,1,0.172,Qualified,1999-2003
Worlds,Mens,100m,1,0.169,Qualified,1999-2003
Worlds,Mens,100m,1,0.16,Qualified,1999-2003
Worlds,Mens,100m,1,0.254,FastestQualifier,1999-2003
Worlds,Mens,100m,1,0.171,FastestQualifier,1999-2003
Worlds,Mens,100m,1,0.166,Eliminated,1999-2003
Worlds,Mens,100m,1,0.194,Eliminated,1999-2003
Worlds,Mens,100m,1,NA,DNS,1999-2003
Worlds,Mens,100m,1,0.141,Qualified,1999-2003
Worlds,Mens,100m,1,0.161,Qualified,1999-2003
Worlds,Mens,100m,1,0.15,Qualified,1999-2003
Worlds,Mens,100m,1,0.149,Eliminated,1999-2003
Worlds,Mens,100m,1,0.19,Eliminated,1999-2003
Worlds,Mens,100m,1,0.16,Eliminated,1999-2003
Worlds,Mens,100m,1,0.17,Eliminated,1999-2003
Worlds,Mens,100m,1,NA,Disqualified,1999-2003
Worlds,Mens,100m,1,0.174,Qualified,1999-2003
Worlds,Mens,100m,1,0.161,Qualified,1999-2003
Worlds,Mens,100m,1,0.162,Qualified,1999-2003
Worlds,Mens,100m,1,0.166,Eliminated,1999-2003
Worlds,Mens,100m,1,0.178,Eliminated,1999-2003
Worlds,Mens,100m,1,NA,DNS,1999-2003
Worlds,Mens,100m,1,NA,DNS,1999-2003
Worlds,Mens,100m,1,NA,DNS,1999-2003
Worlds,Mens,100m,1,0.179,Qualified,1999-2003
Worlds,Mens,100m,1,0.175,Qualified,1999-2003
Worlds,Mens,100m,1,0.162,Qualified,1999-2003
Worlds,Mens,100m,1,0.184,FastestQualifier,1999-2003
Worlds,Mens,100m,1,0.164,Eliminated,1999-2003
Worlds,Mens,100m,1,0.155,Eliminated,1999-2003
Worlds,Mens,100m,1,0.166,Eliminated,1999-2003
Worlds,Mens,100m,1,0.174,Eliminated,1999-2003
Worlds,Mens,100m,1,0.141,Qualified,1999-2003
Worlds,Mens,100m,1,0.168,Qualified,1999-2003
Worlds,Mens,100m,1,0.153,FastestQualifier,1999-2003
Worlds,Mens,100m,1,0.151,Eliminated,1999-2003
Worlds,Mens,100m,1,0.162,Eliminated,1999-2003
Worlds,Mens,100m,1,0.17,Eliminated,1999-2003
Worlds,Mens,100m,1,0.162,Disqualified,1999-2003
Worlds,Mens,100m,1,0.171,Qualified,1999-2003
Worlds,Mens,100m,1,0.182,Qualified,1999-2003
Worlds,Mens,100m,1,0.159,Qualified,1999-2003
Worlds,Mens,100m,1,0.213,Qualified,1999-2003
Worlds,Mens,100m,1,0.168,Eliminated,1999-2003
Worlds,Mens,100m,1,0.17,Eliminated,1999-2003
Worlds,Mens,100m,1,NA,DNS,1999-2003
Worlds,Mens,100m,2,0.174,Qualified,1999-2003
Worlds,Mens,100m,2,0.17,Qualified,1999-2003
Worlds,Mens,100m,2,0.157,FastestQualifier,1999-2003
Worlds,Mens,100m,2,0.143,Eliminated,1999-2003
Worlds,Mens,100m,2,0.134,Eliminated,1999-2003
Worlds,Mens,100m,2,0.186,Eliminated,1999-2003
Worlds,Mens,100m,2,0.17,Eliminated,1999-2003
Worlds,Mens,100m,2,NA,Disqualified,1999-2003
Worlds,Mens,100m,2,0.156,Qualified,1999-2003
Worlds,Mens,100m,2,0.151,Qualified,1999-2003
Worlds,Mens,100m,2,0.157,Qualified,1999-2003
Worlds,Mens,100m,2,0.152,Eliminated,1999-2003
Worlds,Mens,100m,2,0.173,Eliminated,1999-2003
Worlds,Mens,100m,2,0.168,Eliminated,1999-2003
Worlds,Mens,100m,2,0.159,Eliminated,1999-2003
Worlds,Mens,100m,2,NA,DNS,1999-2003
Worlds,Mens,100m,2,0.147,Qualified,1999-2003
Worlds,Mens,100m,2,0.177,Qualified,1999-2003
Worlds,Mens,100m,2,0.156,Qualified,1999-2003
Worlds,Mens,100m,2,0.155,Eliminated,1999-2003
Worlds,Mens,100m,2,0.168,Eliminated,1999-2003
Worlds,Mens,100m,2,0.155,Eliminated,1999-2003
Worlds,Mens,100m,2,0.181,Eliminated,1999-2003
Worlds,Mens,100m,2,0.146,Eliminated,1999-2003
Worlds,Mens,100m,2,0.16,Qualified,1999-2003
Worlds,Mens,100m,2,0.159,Qualified,1999-2003
Worlds,Mens,100m,2,0.163,Qualified,1999-2003
Worlds,Mens,100m,2,0.155,Eliminated,1999-2003
Worlds,Mens,100m,2,0.15,Eliminated,1999-2003
Worlds,Mens,100m,2,0.167,Eliminated,1999-2003
Worlds,Mens,100m,2,0.162,Eliminated,1999-2003
Worlds,Mens,100m,2,NA,DNS,1999-2003
Worlds,Mens,100m,2,0.141,Qualified,1999-2003
Worlds,Mens,100m,2,0.145,Qualified,1999-2003
Worlds,Mens,100m,2,0.152,Qualified,1999-2003
Worlds,Mens,100m,2,0.155,Eliminated,1999-2003
Worlds,Mens,100m,2,0.145,Eliminated,1999-2003
Worlds,Mens,100m,2,0.166,Eliminated,1999-2003
Worlds,Mens,100m,2,0.172,Eliminated,1999-2003
Worlds,Mens,100m,2,0.181,Eliminated,1999-2003
Worlds,Mens,100m,3,0.148,Qualified,1999-2003
Worlds,Mens,100m,3,0.123,Qualified,1999-2003
Worlds,Mens,100m,3,0.141,Qualified,1999-2003
Worlds,Mens,100m,3,0.15,Qualified,1999-2003
Worlds,Mens,100m,3,0.141,Eliminated,1999-2003
Worlds,Mens,100m,3,0.164,Eliminated,1999-2003
Worlds,Mens,100m,3,0.125,Eliminated,1999-2003
Worlds,Mens,100m,3,0.134,Eliminated,1999-2003
Worlds,Mens,100m,3,0.135,Qualified,1999-2003
Worlds,Mens,100m,3,0.138,Qualified,1999-2003
Worlds,Mens,100m,3,0.158,Qualified,1999-2003
Worlds,Mens,100m,3,0.142,Eliminated,1999-2003
Worlds,Mens,100m,3,0.167,Eliminated,1999-2003
Worlds,Mens,100m,3,0.14,Eliminated,1999-2003
Worlds,Mens,100m,3,0.13,Eliminated,1999-2003
Worlds,Mens,100m,3,0.152,Disqualified,1999-2003
Worlds,Mens,100m,4,0.132,Finalist,1999-2003
Worlds,Mens,100m,4,0.146,Finalist,1999-2003
Worlds,Mens,100m,4,0.148,Finalist,1999-2003
Worlds,Mens,100m,4,0.16,Finalist,1999-2003
Worlds,Mens,100m,4,0.162,Finalist,1999-2003
Worlds,Mens,100m,4,0.142,Finalist,1999-2003
Worlds,Mens,100m,4,0.148,Finalist,1999-2003
Worlds,Mens,100m,1,0.122,Qualified,1999-2003
Worlds,Mens,100m,1,0.174,Qualified,1999-2003
Worlds,Mens,100m,1,0.213,Qualified,1999-2003
Worlds,Mens,100m,1,0.167,Qualified,1999-2003
Worlds,Mens,100m,1,0.139,Eliminated,1999-2003
Worlds,Mens,100m,1,0.178,Eliminated,1999-2003
Worlds,Mens,100m,1,0.176,Eliminated,1999-2003
Worlds,Mens,100m,1,0.164,Qualified,1999-2003
Worlds,Mens,100m,1,0.126,Qualified,1999-2003
Worlds,Mens,100m,1,0.174,Qualified,1999-2003
Worlds,Mens,100m,1,0.135,Eliminated,1999-2003
Worlds,Mens,100m,1,0.14,Eliminated,1999-2003
Worlds,Mens,100m,1,0.132,Eliminated,1999-2003
Worlds,Mens,100m,1,0.156,Eliminated,1999-2003
Worlds,Mens,100m,1,0.143,Eliminated,1999-2003
Worlds,Mens,100m,1,0.121,Qualified,1999-2003
Worlds,Mens,100m,1,0.133,Qualified,1999-2003
Worlds,Mens,100m,1,0.143,Qualified,1999-2003
Worlds,Mens,100m,1,0.14,FastestQualifier,1999-2003
Worlds,Mens,100m,1,0.139,Eliminated,1999-2003
Worlds,Mens,100m,1,0.148,Eliminated,1999-2003
Worlds,Mens,100m,1,0.296,Eliminated,1999-2003
Worlds,Mens,100m,1,NA,DNS,1999-2003
Worlds,Mens,100m,1,0.167,Qualified,1999-2003
Worlds,Mens,100m,1,0.152,Qualified,1999-2003
Worlds,Mens,100m,1,0.132,Qualified,1999-2003
Worlds,Mens,100m,1,0.18,FastestQualifier,1999-2003
Worlds,Mens,100m,1,0.174,Eliminated,1999-2003
Worlds,Mens,100m,1,0.127,Eliminated,1999-2003
Worlds,Mens,100m,1,0.204,Eliminated,1999-2003
Worlds,Mens,100m,1,0.192,Disqualified,1999-2003
Worlds,Mens,100m,1,0.127,Qualified,1999-2003
Worlds,Mens,100m,1,0.148,Qualified,1999-2003
Worlds,Mens,100m,1,0.133,Eliminated,1999-2003
Worlds,Mens,100m,1,0.129,Eliminated,1999-2003
Worlds,Mens,100m,1,0.167,Eliminated,1999-2003
Worlds,Mens,100m,1,0.166,Eliminated,1999-2003
Worlds,Mens,100m,1,0.283,Disqualified,1999-2003
Worlds,Mens,100m,1,0.149,Qualified,1999-2003
Worlds,Mens,100m,1,0.152,Qualified,1999-2003
Worlds,Mens,100m,1,0.119,Qualified,1999-2003
Worlds,Mens,100m,1,0.243,Eliminated,1999-2003
Worlds,Mens,100m,1,0.126,Eliminated,1999-2003
Worlds,Mens,100m,1,0.139,Eliminated,1999-2003
Worlds,Mens,100m,1,0.268,Eliminated,1999-2003
Worlds,Mens,100m,1,NA,DNS,1999-2003
Worlds,Mens,100m,1,0.141,Qualified,1999-2003
Worlds,Mens,100m,1,0.108,Qualified,1999-2003
Worlds,Mens,100m,1,0.149,Qualified,1999-2003
Worlds,Mens,100m,1,0.14,FastestQualifier,1999-2003
Worlds,Mens,100m,1,0.249,FastestQualifier,1999-2003
Worlds,Mens,100m,1,0.123,Eliminated,1999-2003
Worlds,Mens,100m,1,0.182,Eliminated,1999-2003
Worlds,Mens,100m,1,0.327,Eliminated,1999-2003
Worlds,Mens,100m,1,0.149,Qualified,1999-2003
Worlds,Mens,100m,1,0.151,Qualified,1999-2003
Worlds,Mens,100m,1,0.135,Qualified,1999-2003
Worlds,Mens,100m,1,0.134,FastestQualifier,1999-2003
Worlds,Mens,100m,1,0.131,Eliminated,1999-2003
Worlds,Mens,100m,1,0.142,Eliminated,1999-2003
Worlds,Mens,100m,1,0.157,Eliminated,1999-2003
Worlds,Mens,100m,1,0.12,Qualified,1999-2003
Worlds,Mens,100m,1,0.125,Qualified,1999-2003
Worlds,Mens,100m,1,0.281,Qualified,1999-2003
Worlds,Mens,100m,1,0.141,FastestQualifier,1999-2003
Worlds,Mens,100m,1,0.123,Eliminated,1999-2003
Worlds,Mens,100m,1,0.126,Eliminated,1999-2003
Worlds,Mens,100m,1,0.168,Eliminated,1999-2003
Worlds,Mens,100m,1,NA,DNS,1999-2003
Worlds,Mens,100m,1,0.146,Qualified,1999-2003
Worlds,Mens,100m,1,0.133,Qualified,1999-2003
Worlds,Mens,100m,1,0.146,Qualified,1999-2003
Worlds,Mens,100m,1,0.142,FastestQualifier,1999-2003
Worlds,Mens,100m,1,0.198,FastestQualifier,1999-2003
Worlds,Mens,100m,1,0.174,FastestQualifier,1999-2003
Worlds,Mens,100m,1,0.116,Eliminated,1999-2003
Worlds,Mens,100m,1,NA,DNS,1999-2003
Worlds,Mens,100m,2,0.127,Qualified,1999-2003
Worlds,Mens,100m,2,0.129,Qualified,1999-2003
Worlds,Mens,100m,2,0.164,Qualified,1999-2003
Worlds,Mens,100m,2,0.162,Eliminated,1999-2003
Worlds,Mens,100m,2,0.153,Eliminated,1999-2003
Worlds,Mens,100m,2,0.138,Eliminated,1999-2003
